Kompanija,Vaistu pavadinimas,Kiekis,Iprastine kaina,Kaina su nuolaida
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE WOMAN 55+, multivitaminai moterims,",90,"17,01","12,76"
DOPPELHERZ,"AKTIV STRESS-GUTE NERVEN,",30,"6,99",
VITADAY,"MULTIVITAMINAI MOTERIMS,",60,"12,48","7,49"
Fertilovit,"F 35 PLUS, maisto papildas, kapsulės, N",90,"79,99","71,99"
WELLMAN,"CONCEPTION,",30,"22,01",
SWANSON,"L-TIROZINAS, 500 mg,",100,"14,52",
B TOTAL,"TOTAL + MAGNE,",60,"9,96",
WELLMAN,"PROSTACE,",60,"37,81",
SWANSON,"ACETIL L - KARNITINAS 500 mg,",100,"18,99",
FERTILOVIT,"F PCOS, maisto papildas, 60 kapsulių+",30,"79,99","71,99"
WALMARK,"DIALEVEL,",30,"10,36",
TOTALPOWER,"WOMAN,",30,"14,69",
OILEDIXIN,"B, kompleksas nervų sistemai,",10,"5,07",
ECOSH,"BIOAKTYVUS B VITAMINŲ KOMPLEKSAS,",90,"26,99",
EQUAZEN,"MUMOMEGA,",30,"29,99",
LIVOL,"MULTI MOTERIMS,",60,"14,96","9,72"
DIFOLIN,"+, geležies įsisavinimui, hemoglobinui,",30,"14,62","8,77"
ROYAL,"GREEN MULTI MAN, multivitaminai vyrams,",60,"28,49","24,22"
PREGNACARE,,30,"13,94",
ELEVIT,"PRONATAL, plėvele dengtos tabletės, N",30,"10,59",
MILGAMMA,"N, minkštosios kapsulės, N",20,"6,29",
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE WOMAN, multivitaminai moterims,",90,"16,50","12,38"
LIVOL,"MULTI VYRAMS,",60,"15,96","9,58"
CENTRUM,"WOMEN, multivitaminai moterims,",30,"15,99","11,19"
NEW NORDIC,"NORDIC MULTIVITAMIN PREGNANT AND BREASTFEEDING WOMAN, multivitaminai nėščioms ir maitinančioms,",90,"16,96","12,72"
SWANSON,"L-ARGININAS, 500 mg,",100,"11,99",
TOTALPOWER,"MAN,",30,"15,42",
NEURORUBINE,"FORTE LACTAB, plėvele dengtos tabletės, N",20,"5,99",
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE MAN, multivitaminai vyrams,",60,"13,92","10,44"
WELLMAN,"SPORT,",30,"18,00",
NEW NORDIC,"NORDIC MULTIVITAMIN ACTIVE MAN, multivitaminai vyrams,",120,"23,57","17,68"
ECOSH,"Testoboost,",130,"16,99","16,14"
FOMAN,"UP SHOTS, 25 ml,",14,"27,59",
B COMPLEX,"COMPLEX,",40,"8,53",
MULTIVITAMIN,"ACTIVE MAN ENERGY BOOST,",120,"27,99","20,99"
ACORUS,"BALANCE MEN'S BOOSTER SHOTS, geriamasis tirpalas, 10ml, N",14,"26,99","20,24"
ECOSH,"bioaktyvus Cinkas,",90,"12,60","9,45"
SAPIENS,"multivitaminai vyrams (rytas + vakaras),",60,"20,99",
AMBIO,"VITAMINAS D3 3200,",30,"9,98","6,99"
AMBIO,"VITAMINAS C (APELSINŲ SKONIO),",20,"4,48","2,69"
AMBIO,"LIPOSOMINIS VITAMINAS C SU KVERCETINU,",30,"14,99",
AMBIO,"VITAMINAS C VAIKAMS,",60,"9,98","6,49"
JAMIESON,"VITAMINAS C TIRPUSIS, 1000 mg,",10,"8,54","5,12"
AMBIO,"VITAMINŲ B KOMPLEKSAS FORTE,",30,"4,98",
AMBIO,"VITAMINAS C 500 mg,",56,"6,48","3,89"
JAMIESON,"VITAMINAS D 1000 TV (25 mcg), lašiukai, 11,",4,"17,57",
Jamieson,"D vitaminas suaugusiems kramtomasis, 1000 IU N",100,"14,24","8,54"
JAMIESON,"VITAMINAS C APELSINŲ SKONIO, 500 mg,",100,"16,14","9,68"
JAMIESON,"VITAMINO D3 GUMINUKAI, suaugusiems, 1000 TV,",60,"18,99","11,39"
MEGA,"VITAMIN D 4000IU Forte, kapsulės, N",90,"14,49",
JAMIESON,"VITAMINAS C MIX, 500 mg,",120,"18,04","10,82"
D-MAX,"50 mcg,",90,"9,19","7,81"
AMBIO,"FOLIO RŪGŠTIS 1000 MIKROGRAMŲ,",90,"7,48",
CURESUPPORT,"vitaminas C liposomose, apelsinų skonio,",250,"16,21",
NORDAID,"VITAMINAS C LIPOSOMOSE, 1000mg, serumas, 50 paspaudimų,",50,"19,99",
ROYAL,"GREEN VITAMINAS D3, 300TV,",120,"22,99",
EQUILIBRA,"natūralus vitaminas C, apelsinų skonio,",30,"14,50","10,88"
Natura,"Media Vitaminas D3 100µg,",200,"24,99","19,99"
SWANSON,"1000TV, Vitaminas D3, kapsulės, N",250,,
SWANSON,"VITAMINAS C SU ERŠKĖČIŲ EKSTRAKTU 1000 mg,",30,"6,99",
ABC VIT,"VIT VITAMIN D3, dozatorius - lašintuvas,",10,"2,78","1,95"
VITA,"C STRONG 1000mg,",100,"12,99","11,04"
VITAMINAS,"E 200 TV LIFEPLAN,",75,"12,99","10,39"
APIPOL,"propolio lašai,",20,"8,99","8,09"
LIFEPLAN,"VITAMINAS E 400 TV ,",60,"24,99","19,99"
ORTHOMOL,"I-CARE, milteliai ir kapsulės,",30,"71,95",
ORTHOMOL,"VITAMIN D3 PLUS,",60,"23,95",
ORTHOMOL,"IMMUN, granulės,",30,"63,95",
NORDAID,"VITAMINAS C+D liposomose serumas, 50 paspaudimų,",50,"22,99","16,09"
ŠAAR,Juodųjų kmynų aliejus,100,"18,49",
RETINOLIO,"ACETATO (VIT A) 3,44 % ALIEJINIS TIRPALAS,",10,"3,99","3,19"
UNIKALK,"CALCIUM KIDS, su vitaminu D, aviečių ir braškių skonio,",90,"15,99",
ROYAL,"GREEN BIO Vitamino C kompleksas, 180 mg,",60,"22,25",
D-MAX,"100 mcg,",90,"10,99","9,34"
SOLI-D,,20,"6,11",
DOPPELHERZ,"AKTIV HEIBER GRANATAPFEL (HOT POMEGRANATE), granulės paketėliuose,",10,"5,60",
LIVOL,"MONO, Vitaminas C, 400 mg, N",50,"10,90","7,08"
DOPPELHERZ,"AKTIV HERBE CRANBERRY, granulės paketėliuose,",10,"5,60",
WALMARK,"MEGA C, 600 mg, apelsinų skonio,",30,"7,24",
GAMTOS,"NAMAI VITAMINAS C, 500 mg,",40,"7,49","4,49"
VITIRON,"D3 OLIVE SUN, 1000 IU, purškalas,",10,"9,84","4,92"
D-MAX,"10 mcg,",90,"6,49","5,52"
SMART,"WAY, VITAMINAS D3 4000TV, purškiamas maisto papildas,",30,"24,49","17,14"
NATURAL,"C-VITA CHERRY, vyšnių skonio, 60 mg,",30,"2,99","2,54"
GAMTOS,"NAMAI VITAMINAS D3, 40 µg,",80,"8,30","4,98"
NATURA,"MEDIA OMEGA+D,",120,"15,89","12,71"
CURESUPPORT,"skystas vitaminas D3 liposomose,",60,"19,80",
VITAMIN,"C PRO FORTE, vitaminas C,",30,"10,14",
LIVOL,"EXTRA, Vitaminas D, 2000 TV, juodųjų serbentų skonio, N",120,"16,49","10,72"
VITAMINAS,"D3 5000TV,",250,"18,99",
BERTIL'S,"VITAMIN D3 50 MCG,",150,"15,49","10,84"
VITIRON,"D3 OLIVE SUN, 2000 IU, purškalas,",10,"10,79","5,40"
ORIOVIT-D,"50 µg 2000 TV, vitaminas D,",100,"11,33","6,80"
ROYAL,"GREEN CAMU CAMU, vitaminas C, 500 mg,",60,"21,49","18,27"
BIOVITAMINAS,"D3, milteliai pakeliuose,",20,"5,90",
OLIDETRIM,"2000 TV,",60,"8,32",
LIVOL,"EXTRA vitamino D3 guminukai,",70,"15,20","9,88"
JAMIESON,"FOLIO RŪGŠTIS, 1 mg,",100,"8,54","5,12"
OILEDIXIN,"VITAMINAS C, tirpalas,",30,"2,80",
ABC VIT,"VIT Vitaminas C, 500 mg, ananasų skonio,",50,"4,99","3,49"
ABC VIT,"VIT, vitaminas D3, 50µg, 2000TV,",60,"6,99","4,89"
ROYAL,"GREEN VITAMINAS B12, metilkobalaminas, 250 µg,",60,"21,79","18,52"
MEDICATA,"askorbo rūgštis, 500 mg,",50,"1,99",
WALMARK,"MEGA VITAMIN D 4000 IU FORTE,",30,"11,81",
VITIRON,"D3 OLIVE SUN, 4000 IU, purškalas,",10,"12,77","6,38"
OILEDIXIN,"VITAMINAS D3, aliejinis tirpalas,",10,"2,88",
ECOSH,"vitaminas D3, 1200IU,",10,"14,99","10,49"
VITA-D-LIP,"1000, liposominis vitaminas D 1000 TV, 5 ml,",30,"10,01","7,01"
NORDAID,"D4000, purškiamas vitaminas D3, 4000IU, 30ml,",200,"20,99","14,69"
NATURAL,"C-VITA STRAWBERRY, žemuogių skonio, 60 mg,",30,"2,99","2,54"
DETRICAL,"2000 IU,",60,"6,09",
TAKEDA,"APOVIT VITAMIN C, 200 mg,",70,"4,57",
ECOSH,"VITAMINAI K2+D3,",10,"28,99","26,09"
ABC VIT,"VIT Vitaminas C, 500 mg, apelsinų skonio,",50,"4,99","3,49"
ECOSH,"bioaktyvus vitaminas C su acerola,",90,"19,99","17,99"
WALMARK,"SUPER VITAMINAS C, 600 mg,",30,"8,94",
ECOSH,"vitaminas C su erškėtuogėmis,",90,"14,99","13,49"
CURESUPPORT,"vitaminas C liposomose,",150,"18,50","13,88"
OLIDETRIM,"2000 D3 + K2 Omega-3,",30,"9,08",
ECOSH,"vitaminas D3, 4000TV,",10,"15,99","11,19"
MOLLER'S,"D VITAMIN EXTRA,",60,"21,30",
LIVOL,"EXTRA, vitaminas D, 4000TV, N",120,"16,49","10,72"
ASKORBO,"RŪGŠTIS, 50 mg, dražetės, N",200,"2,49","1,74"
SMARTHIT,"IV VITAMIN D3,",30,"18,89","13,22"
OILESEN,"VITAMINAS D3 4000 su juodųjų ikrų aliejumi,",40,"13,89",
WALMARK,"MEGA VITAMIN D, 2000 IU,",60,"10,68",
ABC VIT,"VIT, vitaminas D3, 100µg, 4000TV,",60,"6,99","4,89"
BONCEL,"5600 TV,",12,"7,79","3,12"
DETRICAL,"4000 IU,",60,"6,49",
VITAMINAS,"C, 500 mg,",50,"1,53","1,38"
ORIOVIT-D,"100 µg 4000 TV, vitaminas D,",100,"11,28","6,77"
SMARTHIT,"IV VITAMIN D3 + K2,",30,"17,89","12,52"
OILESEN,"vitaminas D3 400, geriamieji lašai,",10,"2,19",
ECOSH,"PAU D'ARCO, ekstraktas,",50,"19,49","13,64"
ECOSH,"PAU D'ARCO, 500 mg,",100,"19,26","16,37"
LIFEPLAN,"VITAMINAS B5 250 mg, kalcio pantotenatas, tabletės N",100,"14,80",
LIFEPLAN,"VITAMIN B COMPLEX MEGA, koncentruotas B grupės vitaminų kompleksas",60,"14,10",
CURESUPPORT,"liposominis vitamino B kompleksas,",150,"16,52",
RAW POWDERS,"POWDERS NIACINAS (VITAMINAS B3), 500 mg,",60,"9,55",
VITAMINAS,"B6 100 mg LIFEPLAN,",60,"9,99",
ECOSH,"VITAMINAS B3 (niacinas), 250 mg NE,",90,"17,99",
ECOSH,"BIOAKTYVUS VITAMINAS B12, 1200 mcg,",90,"17,99",
VIRIDIAN,"HIGH FIVE B COMPLEX + VIT C,",30,"12,65",
VITA-D-LIP,"4000, liposominis vitaminas D, 4000TV, 5 ml,",30,"12,50","10,00"
OILESEN,"vitaminas D3,",80,"6,61",
ECOSH,"vitaminas D3 4000IU su kanapių sėklų miltais,",90,"13,79","10,34"
VITA,"B12, 1 mg,",30,"5,99",
HEALTHILIFE,"FOLIC ACID, folio rūgštis, 0,4 mg,",90,"5,82",
VITA,"B12 + FOLIO RŪGŠTIS,",30,"7,49",
OILESEN,"FORTE D3 4000, vitaminas D3,",60,"13,65",
BERTIL'S,"VITAMINAS B12 + FOLIATAS,",100,"25,49",
BENFOGAMMA,"50 mg, dengtos tabletės, N",50,"8,75",
CENTRUM,"MEN, multivitaminai vyrams,",30,"16,99","11,89"
MULTI-B,"STRONG,",250,"25,49",
FOMAN,,30,"9,46",
ROYAL,"GREEN ALGAE OIL OMEGA-3 DHR, dumblių aliejus, 200 mg,",60,"36,49","31,02"
LIBIMASCULINE,,30,"13,61",
NORDAID,"IRON SPRAY, 5 mg, purškalas,",30,"20,99",
BIOPILLS,"GLUCO PLUS,",60,"24,29",
Birdie,kapsulės kūno formų dailinimui,60,"21,99",
RAW POWDERS,"POWDERS MELATONINAS, 1 mg,",200,"8,49",
Olimp,L-Carnitine 1500 Extreme Mega Caps L-Karnitinas,120,"36,00",
ORTHOMOL,"VITAL M, milteliai, tabletės ir kapsulės,",30,"66,99",
ORTHOMOL,"VITAL F, milteliai, kapsulės ir tabletės,",30,"66,99",
ŠAAR,Burnočių aliejus,100,"14,49",
ŠAAR,Salvisil,100,"18,49",
SAPIENS,"Biotinas 10000 PRO,",60,"11,99",
FRANK,"FRUITIES MEN‘S MULTI, maisto papildas vyrams, guminukai, N",80,"24,45","22,00"
VIRIDIAN,"MULTIVITAMIN PREGNANCY FORMULA ,",60,"25,99","19,49"
LOTAMILE,"BIOFOLIC COMPLEX,",30,"13,99","8,39"
GLUCOPIL,,60,"17,99",
DIFOLIN,"folio rūgštis + vitaminas D,",60,"6,96","4,18"
SMARTHIT,"IV VITAMIN B12,",30,"19,49","13,64"
FOLIO,"RŪGŠTIS, 800 mcg,",60,"2,80","2,52"
FOLIO,"RŪGŠTIS, 400 mcg,",90,"2,47","2,22"
AMBIO,"RUTINAS PLIUS,",30,"7,48","4,86"
ECOSH,"BIOAKTYVI FOLIO RŪGŠTIS, 800 µg,",90,"15,99","11,99"
AMBIO,"MULTIVITAMINAI VAIKAMS, sirupas,",150,"6,49","4,22"
AMBIO,"IMUNITETUI MIKSTŪRA,",120,"7,48","4,86"
JAMIESON,"IMUNITETUI,",30,"15,19",
AMBIO,"KIDS VITAMINAS C GERIAMIEJI LAŠAI,",30,"2,69","1,75"
AMBIO,"VITAMINAS C (AVIEČIŲ SKONIO),",20,"4,98","2,99"
AMBIO,"KIDS VITAMINAS D 400 TV,",30,"7,98",
JAMIESON,"MUSHROOM COMPLEX, 60 kapsulės (galioja iki 2024.01.",31,"19,94","3,99"
AMBIO,"PAU D'ARCO EKSTRAKTAS, skystasis maisto papildas, 50ml (galiojimas 2024.04.",30,"9,98","6,49"
AMBIO,"RYKLIŲ TAUKAI, 500 mg,",60,"8,98",
AMBIO,"KOMPLEKSAS IMUNITETUI SU GEROSIOMIS BAKTERIJOMIS, 30 kramtomųjų tablečių (galiojimas 2024.03.",31,"9,98",
AMBIO,"IMUNITETUI SU EŽIUOLE,",30,"8,48","5,51"
AMBIO,"VITAMINAS C SU CITRUSINIŲ VAISIŲ BIOFLAVONOIDAIS,",30,"5,99",
AMBIO,"CORDYCEPS, 100 tablečių (galiojimas 2024.03.",31,"17,98",
JAMIESON,"CIBERŽOLĖ 550 mg,",60,"21,37","12,82"
AMBIO,"VITAMINAS B12 500 µg,",60,"5,49","3,84"
AMBIO,"VITAMINAS B12, 1000µg,",60,"11,98",
APIPRO,"oral burnos purškalas su propoliu,",20,"7,50",
MEDICATA,"askorbo rūgštis MDF, milteliai,",15,"2,07","1,55"
MEDICATA,"medus,",220,"2,42",
OMEGA,"- 3 ŽUVŲ TAUKAI 1000mg, kapsulės, N",110,"13,99",
SYMBIOSYS,"DEFENCIA ADULTE,",30,"18,89",
ŠVF EŽIUOLIŲ,"EŽIUOLIŲ ŠAKNYS, tabletės,",100,"14,89","10,42"
ESPRICO,,60,"16,64",
ROYAL,"GREEN BIO ASHWAGANDHA (Ašvaganda), 430 mg,",60,"23,99",
CURCUMIN,"GEL 95+ koncentruotas kurkumino kompleksas, aviečių skonio,",20,"29,90","22,42"
WOOM,"maisto papildas stiprinantis imuninę sistemą BETA GLUCAN,",30,"24,99","18,74"
ROYAL,"GREEN BIO Cinko kompleksas,",60,"24,49","20,82"
NEW NORDIC,"NORDIC MINERALAI KAULAMS, uogų skonio,",60,"8,17","6,13"
MARSIEČIAI,"SU INULINU, miško uogų skonio,",30,"10,72",
ACORUS,"BALANCE IMMUNO FIBER, milteliai,",180,"14,99","11,99"
SVEIKAS,"VAIKAS, vaikų imuniteto stiprintojas, 10 mg,",60,"12,99","11,69"
CENTRUM,"JUNIOR, multivitaminai vaikams,",30,"13,99","9,79"
EQUILIBRA,"maisto papildas IMMUNO ENERGY POTASSIUM & MAGNESIUM,",14,"15,95","11,96"
VITIRON,"KIDS SCHOOL GUMINUKAI VAIKAMS,",50,"13,99",
SMART,"WAY IMMUNITY, purškiamas maisto papildas su šeivamedžiu ir cinku,",30,"17,23","12,06"
VITIRON,"KIDS TOYS,",50,"11,99",
SWANSON,"Spanguolių 12:1 koncentratas, vitaminai C ir E, kapsulės, N",60,"13,49",
ACORUS,"BALANCE IMMUNO FIBER SACHETS, paketėliai, 6 g,",20,"20,99","14,69"
VITIRON,"IMMUNITY STRONG,",30,"13,99",
ACORUS,"BALANCE IMMUNO ACTIVE, milteliai,",200,"21,59","17,27"
MEDICATA,"žiedadulkių tabletės su pikiu ir vitaminu C, 1,5 g,",20,"4,95","3,71"
IMMUNO,"POSITIVE,",30,"4,76","3,33"
ROYAL,GREEN BIO Karibų medus,250,"6,59","5,60"
Greenify,"Immunity Booster, imuninei sistemai, 60 ml, N",1,"2,79","1,67"
IRON,"& FOLIC ACID GELEŽIES BISGLICINATAS+FOLIO RUGŠTIS+B12, 10 ml, buteliukai, N",10,"8,99",
DOPPELHERZ,"AKTIV IMMUNE DIRECT,",20,"10,29",
SYMBIOSYS,"DEFENCIA ENFANT,",30,"18,89",
MARSIEČIAI,"IMUNACTIV, apelsinų skonio,",30,"11,60",
Greenify,"Immunity Defence Booster, imuninei sistemai, 60 ml, N",1,"2,79","1,67"
Haliborange,"Omega-3 & Multivitamins Softies Orange, apelsinų skonio omega-3 ir multivitaminų guminukai,",60,"23,99",
LYSI,"RYKLIŲ KEPENŲ ALIEJUS, 500 MG,",60,"12,79","10,23"
HUMER,"DAY/NIGHT nosiai ir gerklei,",15,"9,49",
IMUNOMOSS,"sirupas,",100,"7,59","6,07"
MEDICATA,"APILAKAS 50, bičių pienelis, 50 mg,",20,"8,99","6,74"
ROYAL,GREEN BIO Kalnų medus,250,"6,59","5,60"
NORDAID,"ZINC, purškiamas cinko papildas, 15mg, 30ml,",200,"22,20",
AMBIO,"SELENAS IR CINKAS SU VITAMINAIS,",90,"9,49",
EQUZEN,"BABY, Atsukamosios kapsulės, N",30,"24,15",
WOOM,"maisto papildas imuninei sistemai stiprinti IMMUNO,",30,"25,99","19,49"
MEDICATA,"žiedadulkių tabletės su bičių duonele ir vitaminu C, 1,5 g,",20,"4,95","3,71"
VITADAY,"MULTIVITAMINAI VAIKAMS,",60,"6,48",
ROYAL,"GREEN BIO IMBIERAS, 335 mg,",60,"16,99",
NOW Vitamino,Vitamino C Milteliai 227g (,8,"13,00",
JAMIESON,"CINKAS SU EŽIUOLE IR VITAMINAIS C IR D,",30,"11,39","6,83"
ROYAL,"GREEN BIO Manuka medus MGO200+,",250,"47,99","40,79"
WELLTEEN,"HIM,",30,"16,43",
SAMBUCUS,"IMUNOSIL, balzamas,",100,"8,09",
PROPOLIS,"MDF, 300 mg/ml, burnos gleivinės ar gerklų ir ryklės tirpalas,",30,"6,20",
IMUNOSIL,"VIRUFIX, kapsulės, N60+N",30,"24,99",
MEDICATA,"PROCALEND, aliejus,",50,"4,71","3,53"
WELLKID,"CALCIUM, geriamasis skystis,",150,"13,07",
FORMULA,"VITALE VITAMIN C PROLONG,",60,"14,99","10,49"
CITROSEPT,"ORGANIC, greipfrutų sėklų ekstraktas,",20,"10,51","8,41"
SAMBUCOL,"BLACK ELDERBERY IMMUNO FORTE, kapsulės su juoduogiu šeivamedžio sulčių ekstraktu, vitaminu C ir cinku,",30,"18,99",
AMBIO,"Ca+K+Mg+Zn+D3, milteliai geriamajam tirpalui ruošti,",30,"10,58","7,41"
SWANSON,"KORDICEPSAS, 600 mg,",120,"20,99",
ROYAL,"GREEN BIO ENERGIJA IR IMUNITETAS,",60,"32,39",
PAIRA,"CITROIMUN, ekstraktas,",50,"17,42","12,19"
BF-ESSE,"OSTEONOL, skystis,",150,"13,99",
RINOSAN,"propo izotoninis nosies purškalas su propoliu,",30,"6,29","5,66"
MARSIEČIAI,"GUMINUKAI BONEACTIV,",50,"12,84",
LYSI,"OMEGA-3 D3 IMMUNITY FORTE, žuvų taukai,",100,"15,99","12,79"
ROYAL,"GREEN BIO Akacijų medus,",250,"10,69","9,09"
SEDACALM,"sirupas,",100,"5,30",
MOLEKIN,"IMUNO,",20,"10,59",
RAW POWDERS,"POWDERS ČAGA, milteliai,",125,"17,59","14,07"
NEW NORDIC,"NORDIC MINERALAI KAULAMS, apelsinų skonio,",180,"14,30","10,72"
IRONLINK,"KIDS, 10 mg, 8 ml,",10,"6,84",
OMEGAPURE,"MAX, kapsulės, N",60,"18,15",
MEDICATA,"vitaminas C su spanguolėmis, 50 mg,",50,"3,78","2,84"
GAMTOS,"NAMAI VITAMINAS C PROLONG, 500 mg,",30,"7,54","4,52"
MOLLER'S,"OMEGA-3 JUNIOR, citrinų-apelsinų skonio,",45,"15,13",
ACORUS,"NEURO, geriamasis tirpalas,",120,"7,99","5,59"
MEDICATA,"bičių duonelė,",50,"7,24","5,43"
IMUNOMOSS,"sirupas,",250,"11,98","9,58"
SWANSON,"475mg, Kvercetinas, kapsulės, N",60,"30,99",
NEW NORDIC,"NORDIC MINERALAI KAULAMS, apelsinų skonio,",60,"6,53","4,90"
SWANSON,"PAU D'ARCO, 500 mg,",100,"15,49",
RUTIN,"FORTE,",30,"7,89",
ROYAL,"GREEN BIO MULTI GOLD, multivitaminai,",90,"39,00",
ACORUS,"BALANCE IMMUNO SHOTS, skystis, 25 ml,",14,"24,95",
MARSIEČIAI,"IMUNACTIV, braškių skonio,",30,"11,60",
LIFEPLAN,"VITAMINAS D3, 4000 TV,",90,"10,96",
LIFEPLAN,"CHEWABLE VITAMIN C, 500 mg, apelsinų skonio vitaminas C su flavonoidais,",90,"12,64",
ABC VIT,"VIT Vitaminas C, 500 mg, braškių skonio,",50,"4,99","3,49"
VITAMINAS,"D3 1000TV, Lifeplan,",90,"7,99","6,39"
CURESUPPORT,"vitaminai K2 + D3 liposomose,",60,"19,49",
LIFEPLAN,"VITAMIN C 1000 mg TIMED RELEASE, palengva įsisavinamas vitaminas C, tabletės N",60,"10,99",
LIFEPLAN,"LOW ACID VITAMIN C 1000 mg, sumažinto rūgštingumo vitaminas C, tabletės N",30,"7,99",
NORDAID,"VITAMINAS C LIPOSOMOSE, 1000mg, serumas, pakeliai 30x",3,"54,75",
NORDAID,"VITAMINAS C LIPOSOMOSE, 1000mg, serumas, pakeliai 10x",3,"25,45",
Natura,"Media Vitaminas D3 50µg,",200,"24,99","19,99"
NOW Vitaminas,Vitaminas D-3 Lašai,59,"10,00","9,00"
EQUILIBRA,"purškiamas vitaminas D3, citrinų ir mėtų skonio,",13,"14,99","11,24"
Optibac,"Adult guminukai su gyvybingomis bakterijomis +D+Zn+Cal,",30,"24,00","16,80"
RAW POWDERS,"POWDERS VITAMINAS D3 + VITAMINAS K2,",90,"8,59","6,87"
VITA,"C ORIGINAL 500 mg,",200,"13,39","11,38"
MOLEKIN,"C 1000,",30,"14,99","8,99"
YOU2.0,"vitaminas D3, N",180,"16,73","13,38"
MEGA,"C APELSINŲ SKONIO,",60,"9,11",
MEGA,"VITAMIN D FORTE 4000 IU,",60,"10,83",
SAULĖS,"VITAMINAS, kramtomos tabletės, N",30,"12,99",
DOPPELHERZ,"AKTIV VITAMIN D3 2000 I.E., tabletės, N",50,"9,49",
VIRIDIAN,"VIRIDKID VITAMIN D, skystas vitaminas D, 400IU,",30,"18,99","13,29"
VIRIDIAN,"EXTRA C, 950 mg,",30,"16,99","12,74"
ASKORBO,"RŪGŠTIS, 50 mg, dražetės, N",200,"2,99",
ACORUS,"BALANCE D3 + K2 LIPOSOMAL SHOTS, geriamasis tirpalas, 25 ml, N",14,"24,99","17,49"
SMARTHIT,"IV VITAMIN C+Zn, N",30,"21,99","15,39"
VITA-LAB,"VITAMINAS D3 5000 + K2 200 µg,",90,"10,99","7,69"
VITA-LAB,"VITAMINAS C, 750 mg,",90,"6,99","4,89"
VITA-C,"LONG, 500mg, tabletės, N",150,"13,99",
UNIKALK,"CALCIUM FORTE K2, su vitaminu D,",90,"16,99",
VITAMINAI,"D3 IR K2,",30,"8,49",
OLIDETRIM,"4000 D3 + K2 OMEGA-3,",30,"12,30",
SPARKLE,"C ORANGE, 1000 mg,",20,"4,48","2,69"
